"","controller","condition","item","rt","NA","subject","group"
"27","DashedSentence",-0.5,2,11162,"FALSE","Native 1",-0.5
"43","DashedSentence",-0.5,10,8282,"FALSE","Native 1",-0.5
"75","DashedSentence",-0.5,12,8834,"FALSE","Native 1",-0.5
"83","DashedSentence",-0.5,8,7947,"FALSE","Native 1",-0.5
"91","DashedSentence",-0.5,4,4970,"FALSE","Native 1",-0.5
"131","DashedSentence",0.5,1,6700,"FALSE","Native 1",-0.5
"147","DashedSentence",0.5,3,6283,"FALSE","Native 1",-0.5
"151","DashedSentence",0.5,9,10319,"FALSE","Native 1",-0.5
"159","DashedSentence",-0.5,6,8673,"FALSE","Native 1",-0.5
"163","DashedSentence",0.5,5,5490,"FALSE","Native 1",-0.5
"167","DashedSentence",0.5,7,9233,"FALSE","Native 1",-0.5
"183","DashedSentence",0.5,11,7109,"FALSE","Native 1",-0.5
"239","DashedSentence",-0.5,9,6350,"FALSE","Native 2",-0.5
"251","DashedSentence",-0.5,7,15780,"FALSE","Native 2",-0.5
"255","DashedSentence",-0.5,5,5454,"FALSE","Native 2",-0.5
"299","DashedSentence",0.5,8,17204,"FALSE","Native 2",-0.5
"319","DashedSentence",0.5,10,11076,"FALSE","Native 2",-0.5
"331","DashedSentence",-0.5,1,4416,"FALSE","Native 2",-0.5
"343","DashedSentence",0.5,12,21169,"FALSE","Native 2",-0.5
"367","DashedSentence",0.5,2,9733,"FALSE","Native 2",-0.5
"391","DashedSentence",-0.5,11,10411,"FALSE","Native 2",-0.5
"395","DashedSentence",0.5,6,5457,"FALSE","Native 2",-0.5
"431","DashedSentence",0.5,4,4379,"FALSE","Native 2",-0.5
"447","DashedSentence",-0.5,3,4947,"FALSE","Native 2",-0.5
"459","DashedSentence",-0.5,8,8336,"FALSE","Native 3",-0.5
"471","DashedSentence",0.5,3,11153,"FALSE","Native 3",-0.5
"491","DashedSentence",0.5,9,11700,"FALSE","Native 3",-0.5
"519","DashedSentence",-0.5,12,13025,"FALSE","Native 3",-0.5
"559","DashedSentence",-0.5,2,13429,"FALSE","Native 3",-0.5
"571","DashedSentence",0.5,1,7049,"FALSE","Native 3",-0.5
"575","DashedSentence",-0.5,4,5013,"FALSE","Native 3",-0.5
"591","DashedSentence",-0.5,6,5561,"FALSE","Native 3",-0.5
"599","DashedSentence",0.5,11,5840,"FALSE","Native 3",-0.5
"615","DashedSentence",-0.5,10,10915,"FALSE","Native 3",-0.5
"619","DashedSentence",0.5,7,10429,"FALSE","Native 3",-0.5
"667","DashedSentence",0.5,5,5304,"FALSE","Native 3",-0.5
"695","DashedSentence",0.5,12,3181,"FALSE","Native 4",-0.5
"715","DashedSentence",0.5,10,4935,"FALSE","Native 4",-0.5
"723","DashedSentence",0.5,2,3981,"FALSE","Native 4",-0.5
"743","DashedSentence",0.5,4,3925,"FALSE","Native 4",-0.5
"763","DashedSentence",-0.5,5,2904,"FALSE","Native 4",-0.5
"767","DashedSentence",-0.5,11,2359,"FALSE","Native 4",-0.5
"771","DashedSentence",0.5,6,2790,"FALSE","Native 4",-0.5
"803","DashedSentence",-0.5,7,2429,"FALSE","Native 4",-0.5
"827","DashedSentence",-0.5,3,3693,"FALSE","Native 4",-0.5
"843","DashedSentence",-0.5,9,3159,"FALSE","Native 4",-0.5
"855","DashedSentence",0.5,8,2076,"FALSE","Native 4",-0.5
"879","DashedSentence",-0.5,1,2897,"FALSE","Native 4",-0.5
"935","DashedSentence",-0.5,10,9984,"FALSE","Native 5",-0.5
"967","DashedSentence",0.5,1,5944,"FALSE","Native 5",-0.5
"983","DashedSentence",0.5,11,6499,"FALSE","Native 5",-0.5
"991","DashedSentence",0.5,9,8496,"FALSE","Native 5",-0.5
"999","DashedSentence",-0.5,8,9292,"FALSE","Native 5",-0.5
"1035","DashedSentence",0.5,5,6077,"FALSE","Native 5",-0.5
"1043","DashedSentence",-0.5,12,11541,"FALSE","Native 5",-0.5
"1059","DashedSentence",0.5,7,4706,"FALSE","Native 5",-0.5
"1075","DashedSentence",0.5,3,4886,"FALSE","Native 5",-0.5
"1091","DashedSentence",-0.5,4,3628,"FALSE","Native 5",-0.5
"1107","DashedSentence",-0.5,6,2483,"FALSE","Native 5",-0.5
"1119","DashedSentence",-0.5,2,2136,"FALSE","Native 5",-0.5
"1159","DashedSentence",0.5,10,2149,"FALSE","Native 6",-0.5
"1163","DashedSentence",0.5,2,2226,"FALSE","Native 6",-0.5
"1175","DashedSentence",0.5,4,1543,"FALSE","Native 6",-0.5
"1183","DashedSentence",-0.5,9,1629,"FALSE","Native 6",-0.5
"1187","DashedSentence",-0.5,7,2073,"FALSE","Native 6",-0.5
"1231","DashedSentence",-0.5,3,1618,"FALSE","Native 6",-0.5
"1267","DashedSentence",0.5,12,1199,"FALSE","Native 6",-0.5
"1279","DashedSentence",-0.5,11,1575,"FALSE","Native 6",-0.5
"1283","DashedSentence",0.5,6,1938,"FALSE","Native 6",-0.5
"1295","DashedSentence",0.5,8,1345,"FALSE","Native 6",-0.5
"1327","DashedSentence",-0.5,1,1609,"FALSE","Native 6",-0.5
