"","controller","condition","item","rt","NA","subject","group"
"11","DashedSentence",-0.5,17,5117,"FALSE","Native 1",-0.5
"19","DashedSentence",0.5,13,5683,"FALSE","Native 1",-0.5
"31","DashedSentence",0.5,4,5151,"FALSE","Native 1",-0.5
"35","DashedSentence",-0.5,11,4266,"FALSE","Native 1",-0.5
"79","DashedSentence",-0.5,2,4944,"FALSE","Native 1",-0.5
"95","DashedSentence",0.5,10,6865,"FALSE","Native 1",-0.5
"103","DashedSentence",0.5,16,9072,"FALSE","Native 1",-0.5
"115","DashedSentence",0.5,7,7014,"FALSE","Native 1",-0.5
"143","DashedSentence",0.5,1,6370,"FALSE","Native 1",-0.5
"203","DashedSentence",-0.5,8,7753,"FALSE","Native 1",-0.5
"207","DashedSentence",-0.5,14,6398,"FALSE","Native 1",-0.5
"211","DashedSentence",-0.5,5,5248,"FALSE","Native 1",-0.5
"243","DashedSentence",0.5,15,4906,"FALSE","Native 2",-0.5
"267","DashedSentence",0.5,3,13039,"FALSE","Native 2",-0.5
"283","DashedSentence",-0.5,10,7039,"FALSE","Native 2",-0.5
"287","DashedSentence",-0.5,1,7125,"FALSE","Native 2",-0.5
"291","DashedSentence",0.5,18,12430,"FALSE","Native 2",-0.5
"323","DashedSentence",0.5,12,3454,"FALSE","Native 2",-0.5
"339","DashedSentence",-0.5,7,252,"FALSE","Native 2",-0.5
"355","DashedSentence",0.5,9,8189,"FALSE","Native 2",-0.5
"371","DashedSentence",-0.5,4,17615,"FALSE","Native 2",-0.5
"379","DashedSentence",0.5,6,4641,"FALSE","Native 2",-0.5
"407","DashedSentence",-0.5,13,7225,"FALSE","Native 2",-0.5
"435","DashedSentence",-0.5,16,17071,"FALSE","Native 2",-0.5
"487","DashedSentence",-0.5,3,8520,"FALSE","Native 3",-0.5
"495","DashedSentence",0.5,5,9396,"FALSE","Native 3",-0.5
"503","DashedSentence",0.5,11,7273,"FALSE","Native 3",-0.5
"523","DashedSentence",-0.5,18,8586,"FALSE","Native 3",-0.5
"531","DashedSentence",0.5,8,9086,"FALSE","Native 3",-0.5
"563","DashedSentence",-0.5,12,4546,"FALSE","Native 3",-0.5
"587","DashedSentence",0.5,14,7865,"FALSE","Native 3",-0.5
"603","DashedSentence",0.5,17,5300,"FALSE","Native 3",-0.5
"639","DashedSentence",-0.5,6,4662,"FALSE","Native 3",-0.5
"647","DashedSentence",-0.5,9,8975,"FALSE","Native 3",-0.5
"663","DashedSentence",-0.5,15,4751,"FALSE","Native 3",-0.5
"671","DashedSentence",0.5,2,6587,"FALSE","Native 3",-0.5
"687","DashedSentence",-0.5,14,3229,"FALSE","Native 4",-0.5
"731","DashedSentence",-0.5,17,4859,"FALSE","Native 4",-0.5
"735","DashedSentence",-0.5,11,2450,"FALSE","Native 4",-0.5
"751","DashedSentence",-0.5,2,2268,"FALSE","Native 4",-0.5
"755","DashedSentence",-0.5,8,3665,"FALSE","Native 4",-0.5
"779","DashedSentence",-0.5,5,6151,"FALSE","Native 4",-0.5
"815","DashedSentence",0.5,1,2420,"FALSE","Native 4",-0.5
"823","DashedSentence",0.5,4,3380,"FALSE","Native 4",-0.5
"835","DashedSentence",0.5,10,4453,"FALSE","Native 4",-0.5
"859","DashedSentence",0.5,7,2879,"FALSE","Native 4",-0.5
"883","DashedSentence",0.5,13,2160,"FALSE","Native 4",-0.5
"891","DashedSentence",0.5,16,4260,"FALSE","Native 4",-0.5
"907","DashedSentence",0.5,6,5311,"FALSE","Native 5",-0.5
"911","DashedSentence",-0.5,16,4772,"FALSE","Native 5",-0.5
"939","DashedSentence",0.5,15,2575,"FALSE","Native 5",-0.5
"971","DashedSentence",0.5,12,4835,"FALSE","Native 5",-0.5
"979","DashedSentence",0.5,3,4809,"FALSE","Native 5",-0.5
"1007","DashedSentence",0.5,9,4733,"FALSE","Native 5",-0.5
"1019","DashedSentence",-0.5,7,4205,"FALSE","Native 5",-0.5
"1023","DashedSentence",0.5,18,2431,"FALSE","Native 5",-0.5
"1079","DashedSentence",-0.5,1,5285,"FALSE","Native 5",-0.5
"1083","DashedSentence",-0.5,13,5236,"FALSE","Native 5",-0.5
