"","controller","condition","item","rt","NA","subject","group"
"15","DashedSentence",-0.5,"3",4010,"FALSE","Native 1","Native"
"23","DashedSentence",-0.5,"19",8044,"FALSE","Native 1","Native"
"39","DashedSentence",-0.5,"20",3575,"FALSE","Native 1","Native"
"47","DashedSentence",-0.5,"12",5142,"FALSE","Native 1","Native"
"51","DashedSentence",-0.5,"10",3670,"FALSE","Native 1","Native"
"59","DashedSentence",-0.5,"23",8605,"FALSE","Native 1","Native"
"63","DashedSentence",-0.5,"22",4219,"FALSE","Native 1","Native"
"67","DashedSentence",-0.5,"8",4068,"FALSE","Native 1","Native"
"71","DashedSentence",-0.5,"5",6298,"FALSE","Native 1","Native"
"87","DashedSentence",-0.5,"21",8123,"FALSE","Native 1","Native"
"107","DashedSentence",-0.5,"7",7897,"FALSE","Native 1","Native"
"123","DashedSentence",-0.5,"17",6846,"FALSE","Native 1","Native"
"127","DashedSentence",-0.5,"1",5631,"FALSE","Native 1","Native"
"139","DashedSentence",-0.5,"11",10607,"FALSE","Native 1","Native"
"155","DashedSentence",-0.5,"4",6156,"FALSE","Native 1","Native"
"171","DashedSentence",-0.5,"6",4153,"FALSE","Native 1","Native"
"175","DashedSentence",-0.5,"14",6799,"FALSE","Native 1","Native"
"179","DashedSentence",-0.5,"15",6571,"FALSE","Native 1","Native"
"187","DashedSentence",-0.5,"18",3597,"FALSE","Native 1","Native"
"191","DashedSentence",-0.5,"16",4939,"FALSE","Native 1","Native"
"195","DashedSentence",-0.5,"13",3375,"FALSE","Native 1","Native"
"199","DashedSentence",-0.5,"24",3289,"FALSE","Native 1","Native"
"219","DashedSentence",-0.5,"9",5404,"FALSE","Native 1","Native"
"223","DashedSentence",-0.5,"2",2768,"FALSE","Native 1","Native"
"235","DashedSentence",-0.5,"24",8092,"FALSE","Native 2","Native"
"247","DashedSentence",-0.5,"22",6060,"FALSE","Native 2","Native"
"259","DashedSentence",-0.5,"6",3592,"FALSE","Native 2","Native"
"263","DashedSentence",-0.5,"14",8316,"FALSE","Native 2","Native"
"271","DashedSentence",-0.5,"18",7431,"FALSE","Native 2","Native"
"275","DashedSentence",-0.5,"9",6460,"FALSE","Native 2","Native"
"279","DashedSentence",-0.5,"10",5981,"FALSE","Native 2","Native"
"295","DashedSentence",-0.5,"16",4878,"FALSE","Native 2","Native"
"307","DashedSentence",-0.5,"15",3335,"FALSE","Native 2","Native"
"311","DashedSentence",-0.5,"21",3803,"FALSE","Native 2","Native"
"315","DashedSentence",-0.5,"2",6149,"FALSE","Native 2","Native"
"327","DashedSentence",-0.5,"4",3718,"FALSE","Native 2","Native"
"335","DashedSentence",-0.5,"3",4439,"FALSE","Native 2","Native"
"347","DashedSentence",-0.5,"7",2553,"FALSE","Native 2","Native"
"351","DashedSentence",-0.5,"12",3723,"FALSE","Native 2","Native"
"363","DashedSentence",-0.5,"19",1941,"FALSE","Native 2","Native"
"375","DashedSentence",-0.5,"8",7572,"FALSE","Native 2","Native"
"383","DashedSentence",-0.5,"1",5682,"FALSE","Native 2","Native"
"387","DashedSentence",-0.5,"23",2362,"FALSE","Native 2","Native"
"399","DashedSentence",-0.5,"20",5686,"FALSE","Native 2","Native"
"403","DashedSentence",-0.5,"13",7095,"FALSE","Native 2","Native"
"415","DashedSentence",-0.5,"17",2515,"FALSE","Native 2","Native"
"427","DashedSentence",-0.5,"11",2737,"FALSE","Native 2","Native"
"439","DashedSentence",-0.5,"5",3217,"FALSE","Native 2","Native"
"463","DashedSentence",-0.5,"21",5440,"FALSE","Native 3","Native"
"467","DashedSentence",-0.5,"12",4273,"FALSE","Native 3","Native"
"475","DashedSentence",-0.5,"11",6361,"FALSE","Native 3","Native"
"483","DashedSentence",-0.5,"8",3864,"FALSE","Native 3","Native"
"507","DashedSentence",-0.5,"22",3309,"FALSE","Native 3","Native"
"515","DashedSentence",-0.5,"9",7415,"FALSE","Native 3","Native"
"539","DashedSentence",-0.5,"2",4431,"FALSE","Native 3","Native"
"543","DashedSentence",-0.5,"14",4517,"FALSE","Native 3","Native"
"547","DashedSentence",-0.5,"6",3590,"FALSE","Native 3","Native"
"551","DashedSentence",-0.5,"23",6438,"FALSE","Native 3","Native"
"555","DashedSentence",-0.5,"18",2872,"FALSE","Native 3","Native"
"567","DashedSentence",-0.5,"3",6176,"FALSE","Native 3","Native"
"579","DashedSentence",-0.5,"24",3671,"FALSE","Native 3","Native"
"583","DashedSentence",-0.5,"7",6439,"FALSE","Native 3","Native"
"595","DashedSentence",-0.5,"16",6298,"FALSE","Native 3","Native"
"607","DashedSentence",-0.5,"4",4203,"FALSE","Native 3","Native"
"611","DashedSentence",-0.5,"5",3652,"FALSE","Native 3","Native"
"623","DashedSentence",-0.5,"13",4107,"FALSE","Native 3","Native"
"627","DashedSentence",-0.5,"20",2657,"FALSE","Native 3","Native"
"631","DashedSentence",-0.5,"1",6315,"FALSE","Native 3","Native"
"635","DashedSentence",-0.5,"10",2036,"FALSE","Native 3","Native"
"643","DashedSentence",-0.5,"19",3502,"FALSE","Native 3","Native"
