"","controller","condition","item","accuracy","rt","subject","group"
"16","PictureAccept",0.5,"3",0,3270,"Native 1",-0.5
"24","PictureAccept",0.5,"19",0,1533,"Native 1",-0.5
"40","PictureAccept",-0.5,"20",1,1283,"Native 1",-0.5
"48","PictureAccept",-0.5,"12",1,1395,"Native 1",-0.5
"60","PictureAccept",0.5,"23",0,2434,"Native 1",-0.5
"68","PictureAccept",-0.5,"8",1,1494,"Native 1",-0.5
"108","PictureAccept",0.5,"7",0,2566,"Native 1",-0.5
"140","PictureAccept",0.5,"11",0,2690,"Native 1",-0.5
"156","PictureAccept",-0.5,"4",1,1512,"Native 1",-0.5
"180","PictureAccept",0.5,"15",1,1113,"Native 1",-0.5
"192","PictureAccept",-0.5,"16",1,1463,"Native 1",-0.5
"200","PictureAccept",-0.5,"24",1,1577,"Native 1",-0.5
"248","PictureAccept",0.5,"22",1,1523,"Native 2",-0.5
"260","PictureAccept",0.5,"6",1,2240,"Native 2",-0.5
"264","PictureAccept",0.5,"14",1,1744,"Native 2",-0.5
"272","PictureAccept",0.5,"18",1,1486,"Native 2",-0.5
"280","PictureAccept",0.5,"10",1,1155,"Native 2",-0.5
"308","PictureAccept",-0.5,"15",1,1083,"Native 2",-0.5
"316","PictureAccept",0.5,"2",1,1024,"Native 2",-0.5
"336","PictureAccept",-0.5,"3",1,1501,"Native 2",-0.5
"348","PictureAccept",-0.5,"7",1,1051,"Native 2",-0.5
"364","PictureAccept",-0.5,"19",1,1154,"Native 2",-0.5
"388","PictureAccept",-0.5,"23",1,10534,"Native 2",-0.5
"428","PictureAccept",-0.5,"11",1,7004,"Native 2",-0.5
"464","PictureAccept",0.5,"21",1,1461,"Native 3",-0.5
"508","PictureAccept",-0.5,"22",1,1694,"Native 3",-0.5
"516","PictureAccept",0.5,"9",1,1526,"Native 3",-0.5
"540","PictureAccept",-0.5,"2",1,1937,"Native 3",-0.5
"544","PictureAccept",-0.5,"14",1,2318,"Native 3",-0.5
"548","PictureAccept",-0.5,"6",1,1490,"Native 3",-0.5
"556","PictureAccept",-0.5,"18",1,1692,"Native 3",-0.5
"612","PictureAccept",0.5,"5",1,1273,"Native 3",-0.5
"624","PictureAccept",0.5,"13",1,1394,"Native 3",-0.5
"632","PictureAccept",0.5,"1",1,1292,"Native 3",-0.5
"636","PictureAccept",-0.5,"10",1,1920,"Native 3",-0.5
"660","PictureAccept",0.5,"17",1,1451,"Native 3",-0.5
"684","PictureAccept",0.5,"8",1,1180,"Native 4",-0.5
"700","PictureAccept",-0.5,"17",1,655,"Native 4",-0.5
"708","PictureAccept",0.5,"24",0,723,"Native 4",-0.5
"712","PictureAccept",-0.5,"21",1,541,"Native 4",-0.5
"748","PictureAccept",0.5,"4",0,691,"Native 4",-0.5
"792","PictureAccept",0.5,"20",0,931,"Native 4",-0.5
"800","PictureAccept",-0.5,"9",1,616,"Native 4",-0.5
"808","PictureAccept",0.5,"16",1,937,"Native 4",-0.5
"820","PictureAccept",-0.5,"5",0,1663,"Native 4",-0.5
"848","PictureAccept",-0.5,"1",0,1409,"Native 4",-0.5
"872","PictureAccept",-0.5,"13",1,685,"Native 4",-0.5
"876","PictureAccept",0.5,"12",1,1398,"Native 4",-0.5
"924","PictureAccept",0.5,"15",1,1373,"Native 5",-0.5
"928","PictureAccept",0.5,"23",1,1308,"Native 5",-0.5
"944","PictureAccept",-0.5,"24",1,1395,"Native 5",-0.5
"952","PictureAccept",0.5,"19",1,940,"Native 5",-0.5
"956","PictureAccept",0.5,"3",1,2898,"Native 5",-0.5
"960","PictureAccept",-0.5,"12",1,1332,"Native 5",-0.5
"1016","PictureAccept",-0.5,"8",1,1246,"Native 5",-0.5
"1032","PictureAccept",0.5,"11",1,5878,"Native 5",-0.5
